Evaluation Report
=================

Scalar Metrics:
---------------
f1_score: 0.8390804597701149
auprc: 0.8540820183429942
roc_auc: 0.9529088559312301

Classification Report:
----------------------
              precision    recall  f1-score   support

           0       1.00      1.00      1.00     56864
           1       0.96      0.74      0.84        98

    accuracy                           1.00     56962
   macro avg       0.98      0.87      0.92     56962
weighted avg       1.00      1.00      1.00     56962

Confusion Matrix:
-----------------
[[56861     3]
 [   25    73]]

Precision-Recall Curve Data:
----------------------------
Recall,Precision,Threshold
1.0000,0.0017,0.0000
0.9082,0.0683,0.0100
0.8980,0.2472,0.0200
0.8980,0.4131,0.0300
0.8878,0.5577,0.0400
0.8878,0.6304,0.0500
0.8878,0.6541,0.0600
0.8878,0.6905,0.0700
0.8878,0.7073,0.0800
0.8776,0.7288,0.0900
0.8776,0.7414,0.1000
0.8776,0.7679,0.1100
0.8776,0.7818,0.1200
0.8776,0.7963,0.1300
0.8673,0.8173,0.1400
0.8571,0.8155,0.1500
0.8571,0.8317,0.1800
0.8571,0.8485,0.1900
0.8571,0.8571,0.2000
0.8469,0.8737,0.2200
0.8469,0.8925,0.2500
0.8469,0.9222,0.3000
0.8265,0.9205,0.3300
0.8061,0.9294,0.3400
0.8061,0.9405,0.3800
0.8061,0.9518,0.4100
0.7857,0.9506,0.4300
0.7755,0.9500,0.4400
0.7653,0.9494,0.4800
0.7449,0.9481,0.4900
0.7449,0.9605,0.5200
0.7347,0.9600,0.5500
0.7245,0.9595,0.5600
0.7245,0.9726,0.6200
0.7143,0.9722,0.6300
0.7041,0.9718,0.6600
0.6939,0.9714,0.6700
0.6735,0.9706,0.7000
0.6633,0.9701,0.7100
0.6531,0.9697,0.7300
0.6327,0.9688,0.7400
0.6122,0.9677,0.7500
0.5918,0.9667,0.8000
0.5816,0.9661,0.8200
0.5714,0.9655,0.8300
0.5612,0.9649,0.8400
0.5510,0.9643,0.8500
0.5408,0.9636,0.8600
0.5204,0.9623,0.8800
0.4796,0.9592,0.8900
0.4694,0.9583,0.9000
0.4694,0.9787,0.9100
0.4388,0.9773,0.9200
0.3980,0.9750,0.9300
0.3571,0.9722,0.9400
0.3367,0.9706,0.9500
0.2755,0.9643,0.9600
0.2449,0.9600,0.9700
0.1735,0.9444,0.9800
0.1224,0.9231,0.9900
0.0816,1.0000,1.0000
0.0000,1.0000,N/A
